X0 X1 X2
X120 X241 X242
X121 X243 X244
X122 X245 X246
X123 X247 X248
X124 X249 X250
X125 X251 X252
X126 X253 X254
X127 X255 X256
X128 X257 X258
X129 X259 X260
X130 X261 X262
X131 X263 X264
X132 X265 X266
X133 X267 X268
X134 X269 X270
X135 X271 X272
X136 X273 X274
X137 X275 X276
X138 X277 X278
X139 X279 X280
X140 X281 X282
X141 X283 X284
X142 X285 X286
X143 X287 X288
X144 X289 X290
X145 X291 X292
X146 X293 X294
X147 X295 X296
X148 X297 X298
X149 X299 X300
X150 X301 X302
X151 X303 X304
X152 X305 X306
X153 X307 X308
X154 X309 X310
X155 X311 X312
X156 X313 X314
X157 X315 X316
X158 X317 X318
X159 X319 X320
X160 X321 X322
X161 X323 X324
X162 X325 X326
X163 X327 X328
X164 X329 X330
X165 X331 X332
X166 X333 X334
X167 X335 X336
X168 X337 X338
X169 X339 X340
X170 X341 X342
X171 X343 X344
X172 X345 X346
X173 X347 X348
X174 X349 X350
X175 X351 X352
X176 X353 X354
X177 X355 X356
X178 X357 X358
X179 X359 X360
X180 X361 X362
X181 X363 X364
X182 X365 X366
X183 X367 X368
X184 X369 X370
X185 X371 X372
X186 X373 X374
X187 X375 X376
X188 X377 X378
X189 X379 X380
X190 X381 X382
X191 X383 X384
X192 X385 X386
X193 X387 X388
X194 X389 X390
X195 X391 X392
X196 X393 X394
X197 X395 X396
X198 X397 X398
X199 X399 X400
X200 X401 X402
X201 X403 X404
X202 X405 X406
X203 X407 X408
X204 X409 X410
X205 X411 X412
X206 X413 X414
X207 X415 X416
X208 X417 X418
X209 X419 X420
X210 X421 X422
X211 X423 X424
X212 X425 X426
X213 X427 X428
X214 X429 X430
X215 X431 X432
X216 X433 X434
X217 X435 X436
X218 X437 X438
X219 X439 X440
X220 X441 X442
X221 X443 X444
X222 X445 X446
X223 X447 X448
X224 X449 X450
X225 X451 X452
X226 X453 X454
X227 X455 X456
X228 X457 X458
X229 X459 X460
X230 X461 X462
X231 X463 X464
X232 X465 X466
X233 X467 X468
X234 X469 X470
X235 X471 X472
X236 X473 X474
X237 X475 X476
X238 X477 X478
X239 X479 X480
X240 X481 X482
X241 X483 X484
X242 X485 X486
X243 X487 X488
X244 X489 X490
X245 X491 X492
X246 X493 X494
X247 X495 X496
X248 X497 X498
X249 X499 X500
X250 X501 X502
X251 X503 X504
X252 X505 X506
X253 X507 X508
X254 X509 X510
X255 27 28
X256 31 31
X257 29 32
X258 32 32
X259 30 30
X260 34 34
X261 31 34
X262 35 40
X263 30 32
X264 32 33
X265 29 32
X266 34 36
X267 35 37
X268 36 40
X269 35 39
X270 36 39
X271 27 30
X272 30 31
X273 32 32
X274 31 33
X275 31 34
X276 33 38
X277 33 35
X278 33 37
X279 29 30
X280 31 33
X281 35 35
X282 36 36
X283 33 35
X284 32 36
X285 37 39
X286 39 39
X287 29 29
X288 33 33
X289 31 33
X290 32 33
X291 34 35
X292 34 36
X293 35 35
X294 38 42
X295 32 37
X296 36 38
X297 35 36
X298 36 41
X299 38 39
X300 42 43
X301 39 42
X302 40 41
X303 32 35
X304 34 34
X305 36 40
X306 38 38
X307 36 40
X308 39 45
X309 41 44
X310 42 47
X311 35 39
X312 38 39
X313 37 39
X314 38 41
X315 36 38
X316 37 39
X317 42 42
X318 42 44
X319 33 34
X320 33 36
X321 34 36
X322 38 40
X323 34 38
X324 39 43
X325 37 42
X326 40 41
X327 33 37
X328 36 41
X329 38 39
X330 39 40
X331 37 40
X332 43 46
X333 43 46
X334 46 46
X335 36 40
X336 37 42
X337 37 39
X338 40 43
X339 34 36
X340 40 40
X341 40 40
X342 42 48
X343 34 39
X344 40 44
X345 39 41
X346 42 43
X347 41 44
X348 44 48
X349 44 51
X350 49 51
X351 36 37
X352 35 38
X353 34 38
X354 38 42
X355 41 43
X356 41 43
X357 38 40
X358 43 48
X359 37 44
X360 39 42
X361 39 42
X362 39 43
X363 39 40
X364 45 46
X365 45 51
X366 47 54
X367 33 35
X368 38 40
X369 38 39
X370 42 44
X371 39 40
X372 38 42
X373 44 48
X374 44 50
X375 39 42
X376 45 49
X377 43 46
X378 45 49
X379 43 44
X380 43 44
X381 43 47
X382 50 52
X383 32 33
X384 35 40
X385 33 35
X386 35 37
X387 36 40
X388 40 43
X389 38 40
X390 40 41
X391 34 37
X392 40 40
X393 37 37
X394 36 42
X395 36 38
X396 40 43
X397 37 37
X398 42 42
X399 36 37
X400 38 43
X401 41 42
X402 44 50
X403 39 43
X404 43 43
X405 38 43
X406 46 48
X407 41 42
X408 44 47
X409 44 46
X410 44 46
X411 44 47
X412 46 53
X413 44 46
X414 50 55
X415 38 43
X416 46 48
X417 44 44
X418 42 47
X419 38 43
X420 42 42
X421 47 47
X422 46 49
X423 38 43
X424 43 47
X425 45 48
X426 47 54
X427 44 47
X428 49 50
X429 48 48
X430 50 50
X431 38 41
X432 38 41
X433 43 43
X434 44 44
X435 45 47
X436 46 46
X437 46 49
X438 48 51
X439 46 50
X440 48 51
X441 48 49
X442 48 55
X443 47 51
X444 52 59
X445 48 55
X446 56 60
X447 30 35
X448 36 37
X449 38 42
X450 40 41
X451 36 38
X452 40 41
X453 40 41
X454 43 50
X455 40 40
X456 42 45
X457 38 41
X458 44 46
X459 38 45
X460 45 50
X461 42 45
X462 47 49
X463 41 41
X464 43 46
X465 38 45
X466 43 45
X467 40 44
X468 45 52
X469 48 49
X470 48 52
X471 41 48
X472 43 50
X473 46 47
X474 45 49
X475 49 49
X476 52 55
X477 45 51
X478 55 58
X479 34 37
X480 34 39
X481 40 40
X482 39 46
X483 42 42
X484 44 47
X485 42 44
X486 42 48
X487 37 40
X488 44 45
X489 41 44
X490 48 50
X491 45 46
X492 48 51
X493 50 59
X494 51 58
X495 37 41
X496 45 45
X497 44 49
X498 50 51
X499 41 46
X500 49 49
X501 42 46
X502 48 55
X503 41 46
X504 46 50
X505 45 46
X506 46 51
X507 44 47
X508 51 53
X509 46 49
X510 53 54
