X0 X1 X2
X120 X241 X242
X121 X243 X244
X122 X245 X246
X123 X247 X248
X124 X249 X250
X125 X251 X252
X126 X253 X254
X127 X255 X256
X128 X257 X258
X129 X259 X260
X130 X261 X262
X131 X263 X264
X132 X265 X266
X133 X267 X268
X134 X269 X270
X135 X271 X272
X136 X273 X274
X137 X275 X276
X138 X277 X278
X139 X279 X280
X140 X281 X282
X141 X283 X284
X142 X285 X286
X143 X287 X288
X144 X289 X290
X145 X291 X292
X146 X293 X294
X147 X295 X296
X148 X297 X298
X149 X299 X300
X150 X301 X302
X151 X303 X304
X152 X305 X306
X153 X307 X308
X154 X309 X310
X155 X311 X312
X156 X313 X314
X157 X315 X316
X158 X317 X318
X159 X319 X320
X160 X321 X322
X161 X323 X324
X162 X325 X326
X163 X327 X328
X164 X329 X330
X165 X331 X332
X166 X333 X334
X167 X335 X336
X168 X337 X338
X169 X339 X340
X170 X341 X342
X171 X343 X344
X172 X345 X346
X173 X347 X348
X174 X349 X350
X175 X351 X352
X176 X353 X354
X177 X355 X356
X178 X357 X358
X179 X359 X360
X180 X361 X362
X181 X363 X364
X182 X365 X366
X183 X367 X368
X184 X369 X370
X185 X371 X372
X186 X373 X374
X187 X375 X376
X188 X377 X378
X189 X379 X380
X190 X381 X382
X191 X383 X384
X192 X385 X386
X193 X387 X388
X194 X389 X390
X195 X391 X392
X196 X393 X394
X197 X395 X396
X198 X397 X398
X199 X399 X400
X200 X401 X402
X201 X403 X404
X202 X405 X406
X203 X407 X408
X204 X409 X410
X205 X411 X412
X206 X413 X414
X207 X415 X416
X208 X417 X418
X209 X419 X420
X210 X421 X422
X211 X423 X424
X212 X425 X426
X213 X427 X428
X214 X429 X430
X215 X431 X432
X216 X433 X434
X217 X435 X436
X218 X437 X438
X219 X439 X440
X220 X441 X442
X221 X443 X444
X222 X445 X446
X223 X447 X448
X224 X449 X450
X225 X451 X452
X226 X453 X454
X227 X455 X456
X228 X457 X458
X229 X459 X460
X230 X461 X462
X231 X463 X464
X232 X465 X466
X233 X467 X468
X234 X469 X470
X235 X471 X472
X236 X473 X474
X237 X475 X476
X238 X477 X478
X239 X479 X480
X240 X481 X482
X241 X483 X484
X242 X485 X486
X243 X487 X488
X244 X489 X490
X245 X491 X492
X246 X493 X494
X247 X495 X496
X248 X497 X498
X249 X499 X500
X250 X501 X502
X251 X503 X504
X252 X505 X506
X253 X507 X508
X254 X509 X510
X255 X511 X512
X256 X513 X514
X257 X515 X516
X258 X517 X518
X259 X519 X520
X260 X521 X522
X261 X523 X524
X262 X525 X526
X263 X527 X528
X264 X529 X530
X265 X531 X532
X266 X533 X534
X267 X535 X536
X268 X537 X538
X269 X539 X540
X270 X541 X542
X271 X543 X544
X272 X545 X546
X273 X547 X548
X274 X549 X550
X275 X551 X552
X276 X553 X554
X277 X555 X556
X278 X557 X558
X279 X559 X560
X280 X561 X562
X281 X563 X564
X282 X565 X566
X283 X567 X568
X284 X569 X570
X285 X571 X572
X286 X573 X574
X287 X575 X576
X288 X577 X578
X289 X579 X580
X290 X581 X582
X291 X583 X584
X292 X585 X586
X293 X587 X588
X294 X589 X590
X295 X591 X592
X296 X593 X594
X297 X595 X596
X298 X597 X598
X299 X599 X600
X300 X601 X602
X301 X603 X604
X302 X605 X606
X303 X607 X608
X304 X609 X610
X305 X611 X612
X306 X613 X614
X307 X615 X616
X308 X617 X618
X309 X619 X620
X310 X621 X622
X311 X623 X624
X312 X625 X626
X313 X627 X628
X314 X629 X630
X315 X631 X632
X316 X633 X634
X317 X635 X636
X318 X637 X638
X319 X639 X640
X320 X641 X642
X321 X643 X644
X322 X645 X646
X323 X647 X648
X324 X649 X650
X325 X651 X652
X326 X653 X654
X327 X655 X656
X328 X657 X658
X329 X659 X660
X330 X661 X662
X331 X663 X664
X332 X665 X666
X333 X667 X668
X334 X669 X670
X335 X671 X672
X336 X673 X674
X337 X675 X676
X338 X677 X678
X339 X679 X680
X340 X681 X682
X341 X683 X684
X342 X685 X686
X343 X687 X688
X344 X689 X690
X345 X691 X692
X346 X693 X694
X347 X695 X696
X348 X697 X698
X349 X699 X700
X350 X701 X702
X351 X703 X704
X352 X705 X706
X353 X707 X708
X354 X709 X710
X355 X711 X712
X356 X713 X714
X357 X715 X716
X358 X717 X718
X359 X719 X720
X360 X721 X722
X361 X723 X724
X362 X725 X726
X363 X727 X728
X364 X729 X730
X365 X731 X732
X366 X733 X734
X367 X735 X736
X368 X737 X738
X369 X739 X740
X370 X741 X742
X371 X743 X744
X372 X745 X746
X373 X747 X748
X374 X749 X750
X375 X751 X752
X376 X753 X754
X377 X755 X756
X378 X757 X758
X379 X759 X760
X380 X761 X762
X381 X763 X764
X382 X765 X766
X383 X767 X768
X384 X769 X770
X385 X771 X772
X386 X773 X774
X387 X775 X776
X388 X777 X778
X389 X779 X780
X390 X781 X782
X391 X783 X784
X392 X785 X786
X393 X787 X788
X394 X789 X790
X395 X791 X792
X396 X793 X794
X397 X795 X796
X398 X797 X798
X399 X799 X800
X400 X801 X802
X401 X803 X804
X402 X805 X806
X403 X807 X808
X404 X809 X810
X405 X811 X812
X406 X813 X814
X407 X815 X816
X408 X817 X818
X409 X819 X820
X410 X821 X822
X411 X823 X824
X412 X825 X826
X413 X827 X828
X414 X829 X830
X415 X831 X832
X416 X833 X834
X417 X835 X836
X418 X837 X838
X419 X839 X840
X420 X841 X842
X421 X843 X844
X422 X845 X846
X423 X847 X848
X424 X849 X850
X425 X851 X852
X426 X853 X854
X427 X855 X856
X428 X857 X858
X429 X859 X860
X430 X861 X862
X431 X863 X864
X432 X865 X866
X433 X867 X868
X434 X869 X870
X435 X871 X872
X436 X873 X874
X437 X875 X876
X438 X877 X878
X439 X879 X880
X440 X881 X882
X441 X883 X884
X442 X885 X886
X443 X887 X888
X444 X889 X890
X445 X891 X892
X446 X893 X894
X447 X895 X896
X448 X897 X898
X449 X899 X900
X450 X901 X902
X451 X903 X904
X452 X905 X906
X453 X907 X908
X454 X909 X910
X455 X911 X912
X456 X913 X914
X457 X915 X916
X458 X917 X918
X459 X919 X920
X460 X921 X922
X461 X923 X924
X462 X925 X926
X463 X927 X928
X464 X929 X930
X465 X931 X932
X466 X933 X934
X467 X935 X936
X468 X937 X938
X469 X939 X940
X470 X941 X942
X471 X943 X944
X472 X945 X946
X473 X947 X948
X474 X949 X950
X475 X951 X952
X476 X953 X954
X477 X955 X956
X478 X957 X958
X479 X959 X960
X480 X961 X962
X481 X963 X964
X482 X965 X966
X483 X967 X968
X484 X969 X970
X485 X971 X972
X486 X973 X974
X487 X975 X976
X488 X977 X978
X489 X979 X980
X490 X981 X982
X491 X983 X984
X492 X985 X986
X493 X987 X988
X494 X989 X990
X495 X991 X992
X496 X993 X994
X497 X995 X996
X498 X997 X998
X499 X999 X1000
X500 X1001 X1002
X501 X1003 X1004
X502 X1005 X1006
X503 X1007 X1008
X504 X1009 X1010
X505 X1011 X1012
X506 X1013 X1014
X507 X1015 X1016
X508 X1017 X1018
X509 X1019 X1020
X510 X1021 X1022
X511 40 44
X512 40 45
X513 45 45
X514 49 50
X515 42 46
X516 47 54
X517 47 47
X518 52 57
X519 48 50
X520 47 54
X521 57 57
X522 55 61
X523 46 53
X524 51 54
X525 54 58
X526 58 66
X527 46 46
X528 46 53
X529 45 51
X530 50 51
X531 48 48
X532 54 56
X533 55 59
X534 55 60
X535 44 48
X536 47 50
X537 50 53
X538 54 57
X539 51 54
X540 58 63
X541 50 57
X542 61 61
X543 46 47
X544 48 48
X545 45 50
X546 49 55
X547 50 55
X548 54 56
X549 51 58
X550 57 64
X551 43 49
X552 51 51
X553 52 58
X554 53 57
X555 51 53
X556 54 54
X557 57 59
X558 54 63
X559 46 49
X560 54 56
X561 46 49
X562 55 55
X563 53 55
X564 56 56
X565 58 64
X566 62 68
X567 48 53
X568 54 55
X569 54 62
X570 54 63
X571 56 65
X572 63 70
X573 57 66
X574 66 70
X575 45 47
X576 45 47
X577 43 47
X578 46 49
X579 45 52
X580 49 50
X581 48 51
X582 53 58
X583 46 52
X584 52 55
X585 52 58
X586 60 62
X587 50 57
X588 59 63
X589 55 58
X590 59 62
X591 53 58
X592 57 59
X593 54 55
X594 57 62
X595 51 57
X596 56 58
X597 56 65
X598 62 69
X599 53 62
X600 61 63
X601 65 71
X602 63 74
X603 58 64
X604 63 72
X605 62 63
X606 64 70
X607 54 55
X608 57 57
X609 59 63
X610 61 64
X611 54 59
X612 61 66
X613 57 66
X614 64 65
X615 56 61
X616 63 65
X617 60 65
X618 65 65
X619 59 67
X620 66 72
X621 60 67
X622 68 75
X623 56 65
X624 57 66
X625 56 64
X626 63 65
X627 57 57
X628 65 67
X629 55 62
X630 64 68
X631 55 62
X632 62 69
X633 63 67
X634 73 75
X635 71 71
X636 73 75
X637 73 73
X638 80 86
X639 44 46
X640 47 49
X641 48 52
X642 50 56
X643 51 57
X644 52 60
X645 53 58
X646 59 61
X647 57 57
X648 56 62
X649 59 63
X650 58 65
X651 56 63
X652 60 61
X653 59 65
X654 62 65
X655 49 53
X656 54 60
X657 54 59
X658 58 58
X659 49 53
X660 54 61
X661 54 57
X662 59 64
X663 54 55
X664 58 67
X665 55 64
X666 59 67
X667 56 63
X668 59 61
X669 65 69
X670 68 70
X671 51 55
X672 59 60
X673 51 60
X674 60 60
X675 60 66
X676 65 67
X677 63 67
X678 62 68
X679 53 57
X680 57 59
X681 61 65
X682 67 67
X683 59 61
X684 57 65
X685 65 73
X686 67 72
X687 58 60
X688 61 64
X689 59 60
X690 61 66
X691 64 68
X692 65 67
X693 65 72
X694 72 74
X695 54 61
X696 59 67
X697 66 70
X698 66 77
X699 59 66
X700 62 67
X701 63 68
X702 71 81
X703 46 52
X704 49 50
X705 55 57
X706 56 56
X707 46 52
X708 50 55
X709 50 54
X710 59 59
X711 54 54
X712 53 60
X713 51 60
X714 56 65
X715 58 59
X716 61 68
X717 65 70
X718 68 78
X719 51 53
X720 53 60
X721 56 56
X722 56 60
X723 56 58
X724 61 66
X725 58 64
X726 61 66
X727 55 57
X728 57 57
X729 58 60
X730 61 72
X731 51 58
X732 60 68
X733 58 64
X734 63 63
X735 51 52
X736 59 59
X737 55 62
X738 59 66
X739 60 68
X740 62 68
X741 61 62
X742 70 72
X743 54 62
X744 62 65
X745 55 64
X746 68 71
X747 56 60
X748 66 69
X749 63 65
X750 67 71
X751 51 59
X752 59 66
X753 56 59
X754 60 61
X755 57 63
X756 64 68
X757 69 71
X758 74 76
X759 59 59
X760 59 66
X761 61 71
X762 72 76
X763 72 72
X764 69 78
X765 64 72
X766 77 78
X767 40 40
X768 43 46
X769 44 51
X770 47 48
X771 42 44
X772 46 49
X773 49 54
X774 53 54
X775 47 50
X776 46 51
X777 44 51
X778 48 55
X779 48 49
X780 48 50
X781 53 55
X782 55 62
X783 42 45
X784 50 50
X785 50 57
X786 50 57
X787 56 57
X788 56 58
X789 54 54
X790 61 63
X791 45 50
X792 51 52
X793 52 54
X794 54 61
X795 53 56
X796 59 63
X797 58 61
X798 59 62
X799 42 49
X800 48 49
X801 46 53
X802 53 54
X803 46 53
X804 55 55
X805 59 61
X806 59 65
X807 47 48
X808 46 49
X809 50 57
X810 56 56
X811 49 54
X812 53 53
X813 57 63
X814 61 63
X815 47 52
X816 53 60
X817 55 56
X818 57 60
X819 51 57
X820 58 58
X821 57 62
X822 63 70
X823 53 59
X824 53 59
X825 57 61
X826 63 63
X827 58 62
X828 58 63
X829 58 64
X830 70 70
X831 46 47
X832 50 54
X833 49 55
X834 54 55
X835 50 52
X836 56 58
X837 51 57
X838 61 63
X839 49 56
X840 57 57
X841 52 53
X842 56 63
X843 55 59
X844 62 64
X845 62 62
X846 69 75
X847 49 58
X848 51 58
X849 56 58
X850 59 66
X851 51 58
X852 51 58
X853 57 61
X854 62 63
X855 57 60
X856 58 63
X857 55 62
X858 62 67
X859 57 60
X860 60 60
X861 54 63
X862 66 68
X863 50 50
X864 53 53
X865 52 56
X866 56 62
X867 47 50
X868 54 55
X869 52 57
X870 57 66
X871 45 52
X872 54 55
X873 53 58
X874 53 59
X875 55 55
X876 62 62
X877 56 63
X878 64 70
X879 54 57
X880 55 61
X881 58 66
X882 66 69
X883 55 61
X884 62 68
X885 57 65
X886 60 65
X887 60 62
X888 66 74
X889 60 68
X890 67 69
X891 65 73
X892 71 74
X893 68 68
X894 73 77
X895 45 47
X896 48 51
X897 46 53
X898 50 57
X899 46 51
X900 49 53
X901 45 52
X902 54 57
X903 49 54
X904 52 52
X905 51 55
X906 55 58
X907 52 54
X908 55 60
X909 52 54
X910 58 65
X911 48 52
X912 51 52
X913 55 58
X914 61 62
X915 58 58
X916 57 66
X917 55 60
X918 58 67
X919 55 62
X920 59 60
X921 58 63
X922 57 64
X923 57 61
X924 63 70
X925 55 62
X926 66 68
X927 48 54
X928 55 55
X929 52 61
X930 59 60
X931 53 59
X932 59 60
X933 59 66
X934 64 75
X935 62 62
X936 65 66
X937 62 72
X938 68 71
X939 59 64
X940 69 69
X941 71 72
X942 72 80
X943 56 56
X944 59 64
X945 62 64
X946 69 72
X947 53 56
X948 62 65
X949 63 71
X950 70 70
X951 62 71
X952 70 79
X953 66 73
X954 76 76
X955 65 69
X956 68 71
X957 73 73
X958 77 80
X959 50 55
X960 56 62
X961 52 57
X962 59 59
X963 58 62
X964 61 61
X965 57 63
X966 61 70
X967 56 61
X968 64 72
X969 59 63
X970 65 68
X971 67 69
X972 75 75
X973 72 74
X974 71 79
X975 52 54
X976 60 61
X977 58 66
X978 68 70
X979 58 60
X980 63 72
X981 67 78
X982 70 77
X983 63 63
X984 65 73
X985 68 68
X986 74 80
X987 74 74
X988 81 88
X989 73 82
X990 82 90
X991 57 64
X992 61 70
X993 60 61
X994 69 70
X995 57 59
X996 64 67
X997 64 65
X998 69 71
X999 63 64
X1000 64 64
X1001 62 66
X1002 72 74
X1003 66 67
X1004 72 76
X1005 71 73
X1006 68 78
X1007 65 66
X1008 69 79
X1009 66 73
X1010 73 73
X1011 63 65
X1012 64 68
X1013 75 77
X1014 75 78
X1015 61 69
X1016 71 73
X1017 61 71
X1018 73 74
X1019 69 72
X1020 71 74
X1021 68 76
X1022 73 81
